Fabricante,Data,Codigo,Produto,Qtd
MIDEA,41024,Evap. 42AFVCI18S5 Inverter AirVolution Connect (R32) FRIO - Springer Midea,9,45939,
MIDEA,41029,Cond. 38TVCI22S5 Inverter AirVolution Connect (R32) FRIO - Springer Midea,19,45939,
MIDEA,41028,Evap. 42AFVCI22S5 Inverter AirVolution Connect (R32) FRIO - Springer Midea,19,45939,
MIDEA,40005,Cond. 38EZVCA12M5 Inverter AI Ecomaster (R32) FRIO - Midea,120,45939,
MIDEA,40004,Evap. 42EZVCA12M5 Inverter AI Ecomaster (R32) FRIO - Midea,120,45939,
DAIKIN,5267,Evap. DT FDMQA24A5VL - Mini SkyAir - Daikin,3,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5268,Cond. DT RZAQ24BVL - Mini SkyAir - Daikin ,3,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5265,Evap. DT FDMQA18A5VL - Mini SkyAir - Daikin,5,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5263,Evap. K71v FKQA24A5VL - Mini SkyAir - Daikin,15,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5262,Cond. K71v RZAQ18BVL - Mini SkyAir - Daikin ,5,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5268,Cond. DT RZAQ24BVL - Mini SkyAir - Daikin ,15,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5267,Evap. DT FDMQA24A5VL - Mini SkyAir - Daikin,6,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5263,Evap. K71v FKQA24A5VL - Mini SkyAir - Daikin,30,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5268,Cond. DT RZAQ24BVL - Mini SkyAir - Daikin ,30,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5268,Cond. DT RZAQ24BVL - Mini SkyAir - Daikin ,6,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5174,Evap. FTHP18S5VL EcoSwing Smart Gold R-32  18 Quente - Daikin,36,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5175,Cond. RHP18S5VL EcoSwing Smart Gold R-32  18 Quente - Daikin,36,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5529,Evap. HW24  CTXS24PMVM  - Daikin,50,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5261,Evap. K71v FKQA18A5VL - Mini SkyAir - Daikin,15,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5262,Cond. K71v RZAQ18BVL - Mini SkyAir - Daikin ,15,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5240,Evap K7 FCQ30AVL Sky Air - QF - Daikin,40,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5244,Evap K7 FCQ42AVL Sky Air - QF - Daikin,5,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5246,Evap K7 FCQ48AVL Sky Air - QF - Daikin,30,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5261,Evap. K71v FKQA18A5VL - Mini SkyAir - Daikin,30,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5262,Cond. K71v RZAQ18BVL - Mini SkyAir - Daikin ,30,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5241,Cond K7 RZQ30AVL Sky Air - QF - Daikin,40,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5245,Cond K7 RZQ42AVL Sky Air - QF - Daikin,5,45943,09/10/2025 reagendado para o dia 13/10/2025
DAIKIN,5247,Cond K7 RZQ48AVL Sky Air - QF - Daikin,30,45943,09/10/2025 reagendado para o dia 13/10/2025
GREE,7197,Evap. GWH09ATB-D6DNA1A/I - G-Top Auto Inverter - Gree,61,45943,
GREE,7198,Cond. GWH09ATB-D6DNA1A/O - G-Top Auto Inverter - Gree,61,45943,
GREE,7183,Evap. GWH12ATC-D6DNA1A/I - G-Top Auto Inverter - Gree,357,45943,
GREE,7184,Cond. GWH12ATC-D6DNA1A/O - G-Top Auto Inverter - Gree,357,45943,
GREE,7619,Evap. PT GULD57ZD1/A-S G-Prime Inverter Compact R32 220-240V FRIO Mono - Gree,89,45943,
GREE,7620,Cond. PT GULD56W1/NhA-S G-Prime Inverter Compact R32 220-240V FRIO Mono - Gree,89,45943,
